index,Time,Open,high,low,close,Volume,WILLR,SMA,RSI,MOM,CMO,ADX,TEMA,DAYS_AFTER_HALVING,DAYS_BEFORE_HALVING
27,1/28/2018,11499.98,12244,11408,11879.95,16887.33952,-45.4466835,12235.546,48.47215875,1080.77,-3.055682505,39.6773721,11419.91993,568,834
28,1/29/2018,11879.95,11975.02,11139.55,11251,14170.37754,-50.84218255,12078.096,44.98137321,-98.99,-10.03725357,37.81282718,11370.16241,569,833
29,1/30/2018,11250.11,11308.42,9900,10237.51,25554.37295,-70.46165287,11844.617,39.98437548,-937.76,-20.03124905,39.36323645,10882.29022,570,832
30,1/31/2018,10230,10425.85,9700,10285.1,18015.95681,-82.78611356,11696.933,40.31964092,-803.9,-19.36071816,41.08462689,10584.69201,571,831
31,2/1/2018,10285.1,10335,8750.99,9224.52,33564.76431,-89.10927068,11471.1585,35.55299333,-2266.48,-28.89401333,44.14649616,9918.37591,572,830
32,2/2/2018,9224.52,9250,8010.02,8873.03,49971.62698,-83.04159183,11204.31,34.1136042,-3006.92,-31.77279159,47.69364749,9332.293752,573,829
33,2/3/2018,8873.03,9473.01,8229,9199.96,28725.00074,-75.15668778,10990.5585,36.68139632,-2051.04,-26.63720737,49.35680772,9114.684895,574,828
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
